Bus, BasekV, Node1, Magnitude1, Angle1, pu1
"150", 4.16, 1,    2401.78,    0.0,         1
"149", 4.16, 1,    2506.85,    0.0,    1.0437
"1", 4.16, 1,    2487.52,   -0.4,    1.0357
"2", 4.16, 1,    2487.34,   -0.4,    1.0356
"3", 4.16, 1,     2486.2,   -0.5,    1.0351
"7", 4.16, 1,    2473.88,   -0.8,      1.03
"4", 4.16, 1,    2485.79,   -0.5,     1.035
"5", 4.16, 1,    2485.15,   -0.5,    1.0347
"6", 4.16, 1,     2484.6,   -0.5,    1.0345
"8", 4.16, 1,    2464.89,   -1.0,    1.0263
"12", 4.16, 1,    2464.66,   -1.0,    1.0262
"9", 4.16, 1,    2463.72,   -1.0,    1.0258
"13", 4.16, 1,    2452.06,   -1.3,    1.0209
"9R", 4.16, 1,    2448.32,   -1.0,    1.0194
"14", 4.16, 1,    2446.96,   -1.0,    1.0188
"34", 4.16, 1,    2451.27,   -1.3,    1.0206
"18", 4.16, 1,    2435.78,   -1.5,    1.0142
"11", 4.16, 1,    2446.42,   -1.0,    1.0186
"10", 4.16, 1,    2446.69,   -1.0,    1.0187
"15", 4.16, 1,    2450.96,   -1.3,    1.0205
"16", 4.16, 1,    2450.19,   -1.3,    1.0202
"17", 4.16, 1,     2450.6,   -1.3,    1.0203
"19", 4.16, 1,    2434.74,   -1.5,    1.0137
"21", 4.16, 1,    2434.42,   -1.6,    1.0136
"20", 4.16, 1,    2434.05,   -1.6,    1.0134
"22", 4.16, 1,    2433.29,   -1.6,    1.0131
"23", 4.16, 1,    2433.44,   -1.6,    1.0132
"24", 4.16, 1,     2432.3,   -1.6,    1.0127
"25", 4.16, 1,    2432.55,   -1.6,    1.0128
"25R", 4.16, 1,    2432.55,   -1.6,    1.0128
"26", 4.16, 1,    2432.07,   -1.6,    1.0126
"28", 4.16, 1,    2432.16,   -1.6,    1.0126
"27", 4.16, 1,    2431.88,   -1.6,    1.0125
"31", 4.16, 1,     2431.6,   -1.6,    1.0124
"33", 4.16, 1,    2430.83,   -1.6,    1.0121
"29", 4.16, 1,    2431.76,   -1.6,    1.0125
"30", 4.16, 1,    2431.54,   -1.6,    1.0124
"250", 4.16, 1,    2431.54,   -1.6,    1.0124
"32", 4.16, 1,    2431.29,   -1.6,    1.0123
"35", 4.16, 1,    2430.59,   -1.6,     1.012
"36", 4.16, 1,     2429.7,   -1.6,    1.0116
"40", 4.16, 1,    2427.62,   -1.7,    1.0108
"37", 4.16, 1,    2429.06,   -1.6,    1.0114
"38", 4.16, 1,    2429.18,   -1.6,    1.0114
"39", 4.16, 1,    2428.84,   -1.6,    1.0113
"41", 4.16, 1,    2427.28,   -1.7,    1.0106
"42", 4.16, 1,    2424.73,   -1.7,    1.0096
"43", 4.16, 1,    2423.67,   -1.7,    1.0091
"44", 4.16, 1,    2422.62,   -1.7,    1.0087
"45", 4.16, 1,     2422.2,   -1.7,    1.0085
"47", 4.16, 1,    2420.14,   -1.8,    1.0076
"46", 4.16, 1,    2421.88,   -1.7,    1.0084
"48", 4.16, 1,    2419.51,   -1.8,    1.0074
"49", 4.16, 1,    2419.23,   -1.8,    1.0073
"50", 4.16, 1,    2418.98,   -1.8,    1.0072
"51", 4.16, 1,     2418.9,   -1.8,    1.0071
"151", 4.16, 1,     2418.9,   -1.8,    1.0071
"52", 4.16, 1,    2443.58,   -1.6,    1.0174
"53", 4.16, 1,    2439.49,   -1.7,    1.0157
"54", 4.16, 1,    2437.02,   -1.8,    1.0147
"55", 4.16, 1,    2436.84,   -1.8,    1.0146
"57", 4.16, 1,    2430.37,   -2.0,    1.0119
"56", 4.16, 1,    2436.76,   -1.8,    1.0146
"58", 4.16, 1,    2429.85,   -2.1,    1.0117
"60", 4.16, 1,    2416.75,   -2.6,    1.0062
"59", 4.16, 1,    2429.59,   -2.1,    1.0116
"61", 4.16, 1,    2416.75,   -2.6,    1.0062
"62", 4.16, 1,    2413.61,   -2.6,    1.0049
"63", 4.16, 1,    2411.65,   -2.6,    1.0041
"64", 4.16, 1,    2408.19,   -2.5,    1.0027
"65", 4.16, 1,    2405.02,   -2.5,    1.0014
"66", 4.16, 1,    2404.23,   -2.5,     1.001
"67", 4.16, 1,    2533.84,   -2.7,     1.055
"68", 4.16, 1,    2532.63,   -2.8,    1.0545
"72", 4.16, 1,    2533.35,   -2.8,    1.0548
"97", 4.16, 1,    2532.09,   -2.8,    1.0543
"69", 4.16, 1,    2531.25,   -2.8,    1.0539
"70", 4.16, 1,    2530.26,   -2.8,    1.0535
"71", 4.16, 1,    2529.71,   -2.8,    1.0533
"73", 4.16, 1,    2531.63,   -2.9,    1.0541
"76", 4.16, 1,    2533.39,   -2.9,    1.0548
"74", 4.16, 1,    2530.15,   -2.9,    1.0534
"75", 4.16, 1,    2529.34,   -2.9,    1.0531
