Bus, BasekV, Node1, Magnitude1, Angle1, pu1
"SOURCEBUS", 115, 1,    66401.7,   30.0,    1.0001
"RG60", 4.16, 1,    2552.22,   30.0,    1.0626
"632", 4.16, 1,    2555.81,   31.0,    1.0641
"670", 4.16, 1,    2561.68,   31.1,    1.0666
"671", 4.16, 1,    2573.76,   31.4,    1.0716
"680", 4.16, 1,    2573.61,   31.4,    1.0715
"633", 4.16, 1,    2561.96,   31.3,    1.0667
"645", 4.16, 1,    2547.24,   30.9,    1.0606
"646", 4.16, 1,     2544.4,   30.9,    1.0594
"692", 4.16, 1,     2573.8,   31.4,    1.0716
"675", 4.16, 1,    2576.89,   31.3,    1.0729
"684", 4.16, 1,    2582.97,   31.6,    1.0754
"611", 4.16, 1,    2581.55,   31.6,    1.0748
"652", 4.16, 1,    2578.55,   31.6,    1.0736
"634", 4.16, 1,     2559.7,   31.2,    1.0658
"650", 4.16, 1,    2402.04,   30.0,    1.0001
